AUID,Last,First,Ethnea,Genni,PubCountry
11641986_2,_Danczyk_Hawley_,_Carolyn_,ENGLISH,F,USA
7220626_1,_Dark_,_John_,ENGLISH,M,USA
18970155_1,_das_Virgens_Reboucas_,_Marcio_,HISPANIC,M,Brazil
12369386_1,_Dawson_Rose_,_Carol_,ENGLISH,F,USA
12197730_2,_Read_de_Alaniz_,_Javier_,HISPANIC,M,USA
17980334_1,_Schettini_,_Juliana_,HISPANIC,F,Brazil
11736938_4,_Garcia_de_Coca_,_Alfonso_,HISPANIC,M,Spain
10759642_3,_Aparecida_de_Rezende_Duek_,_Eliana_,HISPANIC,F,Brazil
16966897_1,_de_Freitas_,_Renato_,HISPANIC,M,Brazil
17049957_4,_De_Gelder_,_Joke_,DUTCH,F,Belgium
13045223_1,_De_Gramont_,_Aimery_,FRENCH,M,France
2543384_2,_de_Haas_,_Alexander_,DUTCH,M,Netherlands
19120005_1,_de_la_Barra_,_Sophia_Leon_,HISPANIC,F,Australia
17410864_3,_de_la_Cruz_Mejia_,_Leticia_,HISPANIC,F,Mexico
17136233_5,_Perez_de_la_Ossa_,_Natalia_,HISPANIC,F,Spain
3438697_1,_de_la_Serna_,_Francisco_Javier_,HISPANIC,M,Mexico
3252390_4,_Gomez_de_la_Torre_,_Ricardo_,HISPANIC,M,Spain
418465_2,_Cesar_de_Lacerda_,_Julio_,HISPANIC,M,Brazil
11531630_2,_Lopez_de_Larruzea_,_Arantza_,HISPANIC,F,Spain
17992397_1,_Lemos_,_Hernani_Pinto_,HISPANIC,M,Brazil
7753190_2,_Silvia_Ponce_de_Leon_,_Marcia_,HISPANIC,F,Switzerland
16322858_1,_Gustavo_de_Lima_,_Carlos_,HISPANIC,M,Brazil
4094496_5,_Perez_de_Los_Cobos_,_Jose_,HISPANIC,M,Spain
1658540_1,_de_Lourdes_Munoz_Carlin_,_Maria_,HISPANIC,F,Mexico
16446946_3,_Carla_de_Marqui_,_Ana_,HISPANIC,F,Brazil
1763799_5,_Ferreira_,_Ricardo_,HISPANIC,M,Brazil
6892395_3,_Molinero_de_Miguel_,_Enrique_,HISPANIC,M,Spain
11346736_6,_De_Moraes_,_Marcio_,HISPANIC,M,Brazil
15599630_1,_de_Morais_Filho_,_Domingos_,HISPANIC,M,Brazil
10646605_2,_de_Oliveira_Nascimento_,_Danielle_,HISPANIC,F,Brazil
1845241_3,_Neves_de_Oliveira_,_Denise_,HISPANIC,F,Brazil
15081638_5,_De_Oliveira_,_Moacir_,HISPANIC,M,Brazil
2995439_2,_de_Orye_,_Fernando_,HISPANIC,M,Spain
19448558_7,_De_Paoli_,_Angela_,ITALIAN,F,Italy
3024520_4,_Hernandez_Fernandez_de_Rojas_,_Dolores_,HISPANIC,F,Spain
5714099_1,_De_Servi_,_Stefano_,ITALIAN,M,Italy
2489105_4,_Santos_,_Elizeu_,HISPANIC,-,Brazil
11297863_3,_Souza_,_Gustavo_,HISPANIC,M,Brazil
6100414_2,_de_Talamoni_,_Nori_Tolosa_,GERMAN,F,Argentina
8949697_2,_Jesus_Gomez_De_Tejada_,_Maria_,HISPANIC,F,Spain
7742048_1,_Martin_de_Vidales_,_Carmen_,HISPANIC,F,Spain
17365285_3,_De_Zhang_,_Yang_,CHINESE,-,China
11099766_1,_Van_Dam_,_Debby_,DUTCH,F,Belgium
1306344_1,_Deda_,_Gulhis_,TURKISH,F,Turkey
9269084_2,_Kiss_Deer_,_Aranka_,HUNGARIAN,F,Hungary
11453695_3,_Gallego_del_Sol_,_Francisca_,HISPANIC,F,Spain
12790658_1,_Martin_del_Valle_,_Eva_,HISPANIC,F,USA
17516892_4,_Thiele_,_Dea_Delaney_,GERMAN,-,Australia
11714365_2,_Delgado_Licon_,_Efren_,HISPANIC,M,Israel
15368545_2,_Demirkaya_,_Erkan_,TURKISH,M,Turkey
12356506_4,_Dennison_,_John_,ENGLISH,M,NewZealand
2008092_1,_Desai_,_Sangeeta_,INDIAN,F,India
1804412_1,_Despeyroux_,_Dominique_,FRENCH,-,UK
2699345_2,_Di_Marco_,_Sergio_,ITALIAN,M,France
4670126_3,_Di_Nino_,_Gianfranco_,ITALIAN,M,Italy
16412094_2,_Di_Pasquale_,_Laura_,ITALIAN,F,Italy
3544160_6,_Di_Pietro_,_Massimo_,ITALIAN,M,Italy
1340878_1,_Diaz_Couselo_,_Fernando_,HISPANIC,M,Spain
11412615_1,_Diaz_Infante_,_Ernesto_,HISPANIC,M,Spain
11125310_9,_Luis_Diaz_Ramon_,_Jose_,HISPANIC,M,Spain
2544583_1,_Dieter_Schluter_,_Klaus_,GERMAN,M,Germany
5834205_3,_St_Dignan_,_Peter_,FRENCH,M,USA
3842195_1,_Ding_,_Guohua_,CHINESE,M,USA
15213466_5,_Ding_,_Husheng_,CHINESE,M,China
9156038_3,_DiNinno_,_fernanda_,HISPANIC,F,Brazil
11795240_2,_Marreiro_,_Dilina_do_Nascimento_,HISPANIC,-,Brazil
8845026_2,_Van_Do_,_Thien_Van_,DUTCH,M,Norway
7804142_1,_Dogru_Pekiner_,_Bilgehan_,TURKISH,M,Turkey
1135569_1,_Lucia_Domingues_,_Ana_,HISPANIC,F,Brazil
10590558_7,_Dominguez_Contreras_,_Luz_,HISPANIC,F,Spain
16668607_1,_Dominguez_Puigjaner_,_Eva_,HISPANIC,F,Spain
15216150_1,_Don_Parsa_,_Fereydoun_,ENGLISH,M,USA
11160325_4,_Donahue_,_Elizabeth_,ENGLISH,F,USA
18215400_4,_Dos_Santos_,_Vasco_,HISPANIC,M,Germany
6545557_1,_Drut_,_Rosa_Monica_,HISPANIC,F,Argentina
15935600_1,_Du_,_Xiaoli_,CHINESE,-,USA
17281845_3,_Du_,_Zhijiang_,CHINESE,-,China
7201661_2,_Daniel_Dubreuil_,_Jean_,FRENCH,M,Canada
5833660_2,_Dudkiewicz_Wilczynska_,_Jadwiga_,SLAV,F,Poland
11694674_3,_Duer_Jensen_,_Anne_,NORDIC,F,Denmark
16610215_1,_Ulusoylu_Dumlu_,_Melek_,TURKISH,F,Turkey
15831567_2,_Dungan_Lemko_,_Heather_,ENGLISH,F,USA
9697564_3,_Dunphy_Suplee_,_Patricia_,ENGLISH,F,USA
8565715_1,_Wu_Zou_,_Duo_,CHINESE,F,China
